timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
03-01-16 7:00,93,7,5,73.5,9,2,0,1,3
04-01-16 7:00,1570,8,6,84.5,12,1,0,0,3
05-01-16 7:00,1803,8.5,7.5,84.5,8,2,0,0,3
06-01-16 7:00,1769,7,6.5,93,5,3,0,0,3
07-01-16 7:00,836,8.5,6,90,15,7,0,0,3
08-01-16 7:00,1702,6,4,78.5,10,2,0,0,3
09-01-16 7:00,161,9,7.5,82,11,2,0,1,3
10-01-16 7:00,100,7,3.5,76,21,1,0,1,3
11-01-16 7:00,1361,7,5,87,9,7,0,0,3
12-01-16 7:00,1953,5,0,81,28,2,0,0,3
13-01-16 7:00,1979,4,0,75,22,1,0,0,3
14-01-16 7:00,1841,3,-1.5,87,19.5,1,0,0,3
15-01-16 7:00,1657,3,-1.5,78,20.5,2,0,0,3
16-01-16 7:00,159,2,-1,75,10,1,0,1,3
17-01-16 7:00,96,2,0,84,7,26,0,1,3
18-01-16 7:00,1741,3,0,81,9,2,0,0,3
19-01-16 7:00,1834,-0.5,-0.5,83,2,1,0,0,3
20-01-16 7:00,1763,-1,-4,80,8,2,0,0,3
21-01-16 7:00,1779,1.5,-0.5,81,7,3,0,0,3
22-01-16 7:00,1594,7,4.5,73.5,14,3,0,0,3
23-01-16 7:00,171,7.5,5,87,13,1,0,1,3
24-01-16 7:00,120,12,12,88,14,2,0,1,3
25-01-16 7:00,1972,11,11,69.5,17.5,1,0,0,3
26-01-16 7:00,2095,9.5,6.5,79,27,2,0,0,3
27-01-16 7:00,1674,13,13,82,32.5,3,0,0,3
28-01-16 7:00,1860,4,1,75,11,1,0,0,3
29-01-16 7:00,1724,12,12,72,34,3,0,0,3
30-01-16 7:00,196,9,6,76,25,2,0,1,3
31-01-16 7:00,137,7,5,78.5,10,7,0,1,3
01-02-16 7:00,1813,13,13,63,34,3,0,0,3
02-02-16 7:00,2005,10,6,62,31,2,0,0,3
03-02-16 7:00,2019,4,-0.5,70,23,1,0,0,3
04-02-16 7:00,1841,9,5,87,31,3,0,0,3
05-02-16 7:00,1530,10.5,9,79.5,19.5,3,0,0,3
06-02-16 7:00,214,10,7.5,88,17.5,3,0,1,3
07-02-16 7:00,155,6,2,76,23,2,0,1,3
08-02-16 7:00,1707,8,4,62,33,2,0,0,3
09-02-16 7:00,1800,7,4.5,71,14,3,0,0,3
10-02-16 7:00,1766,6,2,76,23,3,0,0,3
11-02-16 7:00,1777,2,-0.5,87,8,1,0,0,3
12-02-16 7:00,1574,3.5,0,93,15,1,0,0,3
13-02-16 7:00,178,4,-1,87,27,3,0,1,3
14-02-16 7:00,119,4,1,81,13,1,0,1,3
15-02-16 7:00,1506,2,-2.5,87,18.5,3,0,0,3
16-02-16 7:00,1740,0,-2,93,6,1,0,0,3
17-02-16 7:00,1814,3,0,75,11,2,0,0,3
18-02-16 7:00,1634,4,1,87,12,3,0,0,3
19-02-16 7:00,1406,2,-0.5,87,8,1,0,0,3
20-02-16 7:00,171,9.5,6.5,79,21,2,0,1,3
21-02-16 7:00,143,12.5,12.5,82.5,34,4,0,1,3
22-02-16 7:00,1386,8,7,96.5,7,7,0,0,3
23-02-16 7:00,2066,6,3.5,76,12,2,0,0,3
24-02-16 7:00,1962,1,1,87,4,1,0,0,3
25-02-16 7:00,1882,2.5,-1,78,13,2,0,0,3
26-02-16 7:00,1704,1.5,-1.5,72.5,9,2,0,0,3
27-02-16 7:00,218,4,0.5,70,16,2,0,1,3
28-02-16 7:00,124,4,0,75,18,3,0,1,3
29-02-16 7:00,1825,2.5,2.5,78,4,1,0,0,3
01-03-16 7:00,1621,8,4,87,28,7,0,0,0
02-03-16 7:00,2013,5,0.5,70,27,2,0,0,0
03-03-16 7:00,1900,4,0,75,20.5,2,0,0,0
04-03-16 7:00,1660,4,0,75,19.5,1,0,0,0
05-03-16 7:00,211,2,-1,87,10,1,0,1,0
06-03-16 7:00,115,2.5,-0.5,84,11,1,0,1,0
07-03-16 7:00,1873,2,-2,75,16,1,0,0,0
08-03-16 7:00,2106,2,-1.5,67.5,12,1,0,0,0
09-03-16 7:00,1389,8,4.5,93,20.5,7,0,0,0
10-03-16 7:00,1807,6,4,93,9,3,0,0,0
11-03-16 7:00,1718,0.5,-0.5,100,5,1,0,0,0
12-03-16 7:00,172,5.5,4.5,90,5.5,3,0,1,0
13-03-16 7:00,155,3,1,96.5,7,4,0,1,0
14-03-16 7:00,1912,5.5,1.5,76,22,3,0,0,0
15-03-16 7:00,2133,6,3.5,87,11,3,0,0,0
16-03-16 7:00,2055,7,3.5,81,21.5,2,0,0,0
17-03-16 7:00,1999,3.5,0.5,90,10,2,0,0,0
18-03-16 7:00,1713,3.5,3,87,5,3,0,0,0
19-03-16 7:00,208,6,3.5,87,13,3,0,1,0
20-03-16 7:00,137,6,4,84,10,3,0,1,0
21-03-16 7:00,2033,8.5,7,79,9,3,0,0,0
22-03-16 7:00,2183,5.5,4.5,78.5,6,1,0,0,0
23-03-16 7:00,2168,7.5,7,78.5,5,3,0,0,0
24-03-16 7:00,1898,7.5,5,76,14,1,0,0,0
25-03-16 7:00,231,8,5,79,15,1,1,0,0
26-03-16 7:00,162,9,6,76,18,3,0,1,0
28-03-16 7:00,47,8,3,76,46,3,1,0,0
